"","country","year","service","subservice","equipment_type","equipment_subtype","equipment_name","equipment_subname","unit_name","unit_count"
"159","taiwan","1991","air force",NA,"aircraft",NA,"FGA/FTR",NA,"F-104D/DJ","8"
"160","taiwan","1991","air force",NA,"aircraft",NA,"FGA/FTR",NA,"TF-104G","33"
"161","taiwan","1991","air force",NA,"aircraft",NA,"RECCE",NA,"RF-104G","3"
"162","taiwan","1991","air force",NA,"aircraft",NA,"SAR",NA,"HU-16B","8"
"163","taiwan","1991","air force",NA,"aircraft",NA,"SAR",NA,"S-70","12"
"164","taiwan","1991","air force",NA,"aircraft",NA,"SAR",NA,"UH-1H","12"
"165","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"C-47","8"
"166","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"C-54","2"
"167","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"C-118B","1"
"168","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"DC-6B","1"
"169","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"C-123B/K","10"
"170","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"C-130H Hercules","12"
"171","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"Beech 1900","12"
"172","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"B-707-720B","1"
"173","taiwan","1991","air force",NA,"aircraft",NA,"TPT",NA,"B-727-100","4"
"174","taiwan","1991","air force",NA,"helicopters",NA,"SPT",NA,"CH-34","5"
"175","taiwan","1991","air force",NA,"helicopters",NA,"UTL",NA,"S-62A (VIP)","1"
"176","taiwan","1991","air force",NA,"aircraft",NA,"TRG",NA,"AT-3A/B Tzu-Chung","60"
"177","taiwan","1991","air force",NA,"aircraft",NA,"TRG",NA,"T-33A","30"
